0.08480550299, 1.559323571, 55.14850323, 0.7088180208, 1.346947095, 805.5920648, 0.925974256, 266.4553859, 3.166102976, 2
0.1991316423, 1.519094956, 33.54636856, 0.6700315621, 1.312321015, 1749.725356, 0.9670973832, 604.7680372, 2.941931482, 2
0.08558213232, 1.658453854, 59.04920598, 0.7093609942, 1.432799182, 874.8513617, 0.9243296631, 267.6459974, 3.16964014, 2
0.1319701343, 1.6, 33.42229031, 0.6823447108, 1.382, 1321.144628, 0.9633191116, 412.8568638, 3.015063998, 2
0.09383577396, 1.550282919, 44.06440115, 0.6981317069, 1.338975603, 908.5883196, 0.9431869923, 295.3909156, 3.104065038, 2
0.1086556084, 1.473890358, 41.83053318, 0.6963590105, 1.272904977, 995.5350162, 0.9437728421, 341.5476208, 3.094908632, 2
0.1414788831, 1.520374115, 30.47945251, 0.6807397138, 1.313092984, 1358.478232, 0.9646873299, 442.8722557, 3.006354904, 2
0.06091264516, 1.656222358, 65.55791971, 0.7184021584, 1.430859906, 630.3935499, 0.9132274487, 191.4730058, 3.220397067, 2
0.1091738539, 1.657739843, 35.76535604, 0.6869173854, 1.412524058, 1124.334434, 0.96, 456.8273499, 3.044586927, 3
0.1389973869, 1.65814931, 31.76129596, 0.7085372901, 1.412329228, 1364.200595, 0.933907428, 584.7474536, 3.165732736, 3
0.1221266913, 1.620662346, 33.60984198, 0.6882126691, 1.380789606, 1222.060355, 0.96, 512.3124482, 3.051063346, 3
0.1787096635, 1.458693588, 24.19372813, 0.6938709663, 1.242161325, 1648.964733, 0.96, 754.6926822, 3.079354832, 3
0.1475545504, 1.5478751, 29.37832839, 0.690755455, 1.318491352, 1413.907194, 0.96, 621.2358608, 3.063777275, 3
0.122382075, 1.556496191, 46.40788534, 0.7236953921, 1.325870102, 1149.326518, 0.902382075, 512.626912, 3.248421627, 3
0.09523121068, 1.734231248, 38.49452971, 0.6934711033, 1.477760144, 1025.475616, 0.9488728249, 397.173628, 3.082919104, 3
0.07459211545, 1.951629717, 43.69902155, 0.7258056858, 1.662824031, 897.1761204, 0.9007149361, 309.0722102, 3.268670961, 3
0.06522352356, 1.684, 63.22968719, 0.7381647147, 1.435, 675.5764914, 0.8695811613, 267.3373536, 3.332122402, 3
0.09143963543, 1.611002488, 58.45282499, 0.7396426494, 1.37252178, 875.7786908, 0.8714396354, 379.6624888, 3.338868758, 3
0.07924089113, 1.902662613, 42.52675529, 0.7185226039, 1.621140009, 926.0744596, 0.9115620793, 328.916284, 3.22683198, 3
0.13564934, 1.581953764, 31.3595042, 0.689564934, 1.347659117, 1324.085358, 0.96, 570.2384042, 3.05782467, 3
0.08166851722, 1.877091619, 41.91458891, 0.714719323, 1.599372296, 941.1653926, 0.9172265402, 339.2790105, 3.204983345, 3
